SampleName	FileName	Genotype	Age	Tissue
E2441-CSC_S15_merged    	E2441-CSC_S15_merged_counts.txt     	WT	9w	csc
E2441-MED_S5_merged	E2441-MED_S5_merged_counts.txt	WT	9w	med
E2442-CSC_S20_merged	E2442-CSC_S20_merged_counts.txt	KI	9w	csc
E2442-MED_S10_merged	E2442-MED_S10_merged_counts.txt	KI	9w	med
E2452-CSC_S14_merged	E2452-CSC_S14_merged_counts.txt	WT	9w	csc
E2452-MED_S4_merged	E2452-MED_S4_merged_counts.txt	WT	9w	med
E2455-CSC_S19_merged	E2455-CSC_S19_merged_counts.txt	KI	9w	csc
E2455-MED_S9_merged	E2455-MED_S9_merged_counts.txt	KI	9w	med
E2476-CSC_S18_merged	E2476-CSC_S18_merged_counts.txt	KI	9w	csc
E2476-MED_S8_merged	E2476-MED_S8_merged_counts.txt	KI	9w	med
E2485-CSC_S13_merged	E2485-CSC_S13_merged_counts.txt	WT	9w	csc
E2485-MED_S3_merged	E2485-MED_S3_merged_counts.txt	WT	9w	med
E2494-CSC_S16_merged	E2494-CSC_S16_merged_counts.txt	KI	9w	csc
E2494-MED_S6_merged	E2494-MED_S6_merged_counts.txt	KI	9w	med
E2496-CSC_S17_merged	E2496-CSC_S17_merged_counts.txt	KI	9w	csc
E2496-MED_S7_merged	E2496-MED_S7_merged_counts.txt	KI	9w	med
E2497-CSC_S11_merged	E2497-CSC_S11_merged_counts.txt	WT	9w	csc
E2497-MED_S1_merged	E2497-MED_S1_merged_counts.txt	WT	9w	med
E2498-CSC_S12_merged	E2498-CSC_S12_merged_counts.txt	WT	9w	csc
E2498-MED_S2_merged	E2498-MED_S2_merged_counts.txt	WT	9w	med
E2526-CSC_S27_merged	E2526-CSC_S27_merged_counts.txt	KI	5w	csc
E2526-MED_S23_merged	E2526-MED_S23_merged_counts.txt	KI	5w	med
E2527-CSC_S28_merged	E2527-CSC_S28_merged_counts.txt	KI	5w	csc
E2527-MED_S24_merged	E2527-MED_S24_merged_counts.txt	KI	5w	med
E2529-CSC_S25_merged	E2529-CSC_S25_merged_counts.txt	WT	5w	csc
E2529-MED_S21_merged	E2529-MED_S21_merged_counts.txt	WT	5w	med
E2531-CSC_S26_merged	E2531-CSC_S26_merged_counts.txt	WT	5w	csc
E2531-MED_S22_merged	E2531-MED_S22_merged_counts.txt	WT	5w	med
E2683-MED_S29_merged	E2683-MED_S29_merged_counts.txt	WT	p	med
E2684-CSC_S33_merged	E2684-CSC_S33_merged_counts.txt	WT	p	csc
E2684-MED_S30_merged	E2684-MED_S30_merged_counts.txt	WT	p	med
E2685-CSC_S34_merged	E2685-CSC_S34_merged_counts.txt	KI	p	csc
E2685-MED_S31_merged	E2685-MED_S31_merged_counts.txt	KI	p	med
E2715-CSC_S35_merged	E2715-CSC_S35_merged_counts.txt	KI	p	csc
E2715-MED_S32_merged	E2715-MED_S32_merged_counts.txt	KI	p	med
	PHRENIC-KI-P8_S38_merged_counts.txt			
	XII-KI-P8_S37_merged_counts.txt			
	XII-WT-P8_S36_merged_counts.txt			
